transaccion_id,cliente_id,fecha,tipo,importe,moneda
100001,348,2026-01-12,INGRESO,3914.42,EUR
100002,394,2026-04-18,RECIBO,2779.68,EUR
100003,271,2026-05-30,RETIRADA,3814.47,EUR
100004,411,2025-07-24,INGRESO,-738.81,EUR
100005,27,2025-09-14,RETIRADA,3307.64,EUR
100006,479,2026-07-22,COMPRA,2412.71,EUR
100007,436,2026-06-13,COMPRA,67.85,EUR
100008,140,2025-06-14,RETIRADA,3479.18,EUR
100009,426,2025-05-31,RETIRADA,-995.58,EUR
100010,419,2025-08-16,RETIRADA,3365.46,EUR
100011,213,2025-01-28,COMPRA,680.5,EUR
100012,121,2026-01-18,RETIRADA,3969.89,EUR
100013,115,2026-01-19,COMPRA,252.77,EUR
100014,430,2025-04-12,RECIBO,2852.59,EUR
100015,20,2025-05-21,RECIBO,3545.68,EUR
100016,357,2026-04-29,TRANSFERENCIA,,EUR
100017,230,2026-04-26,INGRESO,-1471.12,EUR
100018,10,2025-03-23,RECIBO,-313.9,EUR
100019,281,2025-06-03,INGRESO,1402.74,EUR
100020,398,2025-04-24,RECIBO,-192.98,EUR
100021,25,2025-05-05,TRANSFERENCIA,809.04,EUR
100022,33,2026-04-14,COMPRA,3101.78,EUR
100023,306,2026-05-27,INGRESO,-1409.61,EUR
100024,295,2026-06-12,TRANSFERENCIA,2451.99,EUR
100025,220,2025-10-26,COMPRA,1881.45,EUR
100026,293,2025-09-04,RETIRADA,-469.77,EUR
100027,269,2025-03-29,RECIBO,-1127.76,EUR
100028,279,2026-06-23,INGRESO,2825.27,EUR
100029,284,2026-06-04,COMPRA,647.5,EUR
100030,23,2026-04-27,RETIRADA,3895.72,EUR
100031,383,2025-09-17,COMPRA,464.02,EUR
100032,177,2025-03-11,TRANSFERENCIA,2531.18,EUR
100033,396,2025-04-17,INGRESO,2543.53,EUR
100034,69,2025-12-07,COMPRA,437.64,EUR
100035,417,2025-12-13,TRANSFERENCIA,3067.11,EUR
100036,357,2026-04-21,RETIRADA,1974.55,EUR
100037,33,2025-05-19,RETIRADA,-1296.59,EUR
100038,23,2025-07-26,TRANSFERENCIA,3371.85,EUR
100039,478,2025-11-20,RECIBO,1334.61,EUR
100040,243,2026-07-11,RECIBO,-1298.59,EUR
100041,147,2025-07-15,RECIBO,3241.76,EUR
100042,444,2025-02-18,RECIBO,2.69,EUR
100043,224,2026-01-12,RETIRADA,2588.19,EUR
100044,174,2026-01-31,TRANSFERENCIA,1229.12,EUR
100045,189,2026-05-25,INGRESO,-33.04,EUR
100046,373,2025-03-26,RETIRADA,-1065.9,EUR
100047,280,2025-07-04,RECIBO,266.66,EUR
100048,168,2025-03-23,RECIBO,185.73,EUR
100049,86,2026-03-13,RETIRADA,433.51,EUR
